timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705609445022.0,-0.6023815,0.2652349,-0.3842189
1705609445036.0,-0.6017223,0.2656646,-0.3831157
1705609445050.0,-0.5978298,0.2611925,-0.3816615
1705609445063.0,-0.5967048,0.2609086,-0.3805034
1705609445077.0,-0.5889187,0.2507946,-0.3790717
1705609445091.0,-0.5868078,0.2490488,-0.3778826
1705609445105.0,-0.5778148,0.2389623,-0.3785496
1705609445118.0,-0.5716832,0.2327417,-0.3790686
1705609445132.0,-0.5680521,0.2292095,-0.3783957
1705609445147.0,-0.5644116,0.2256682,-0.3777211
1705609445159.0,-0.5483096,0.2029659,-0.3869823
1705609445173.0,-0.5430142,0.1967884,-0.3876795
1705609445187.0,-0.5280688,0.1759959,-0.3938244
1705609445200.0,-0.5186065,0.1638508,-0.395531
1705609445215.0,-0.5111654,0.1545288,-0.3971143
1705609445229.0,-0.4994204,0.1375047,-0.3992635
1705609445243.0,-0.4912353,0.1268162,-0.4009633
1705609445257.0,-0.481141,0.1129042,-0.4035506
1705609445271.0,-0.4721007,0.1007712,-0.4055709
1705609445285.0,-0.4634916,0.08937408,-0.4074584
1705609445298.0,-0.4517547,0.07587604,-0.4076931
1705609445311.0,-0.4426768,0.06488147,-0.4097182
1705609445325.0,-0.4354627,0.05808668,-0.4136016
1705609445339.0,-0.4267547,0.04748759,-0.4157382
1705609445354.0,-0.4228105,0.0445681,-0.4188421
1705609445368.0,-0.4149894,0.03540568,-0.4211432
1705609445382.0,-0.4071259,0.02619364,-0.4234568
1705609445396.0,-0.4032703,0.02455426,-0.4254512
1705609445410.0,-0.4001431,0.02353353,-0.4273302
1705609445424.0,-0.3951401,0.01920119,-0.429171
1705609445438.0,-0.3923479,0.01899577,-0.429951
1705609445452.0,-0.3872912,0.01472254,-0.4314356
1705609445465.0,-0.384145,0.01308368,-0.4318554
1705609445478.0,-0.3788882,0.008381926,-0.4334711
1705609445493.0,-0.3821703,0.01205709,-0.4313792
1705609445507.0,-0.3791796,0.009387231,-0.4321211
1705609445520.0,-0.3787833,0.008796123,-0.4320779
1705609445535.0,-0.3754306,0.005844636,-0.4329474
1705609445549.0,-0.3783157,0.008788807,-0.4319102
1705609445563.0,-0.3797759,0.009946762,-0.4309952
1705609445577.0,-0.3778672,0.008294901,-0.4313827
1705609445591.0,-0.3793713,0.008187414,-0.430375
1705609445605.0,-0.3787467,0.007095384,-0.4302249
1705609445617.0,-0.3814389,0.009371478,-0.429247
1705609445632.0,-0.3814389,0.009371478,-0.429247
1705609445646.0,-0.379144,0.009409833,-0.4284399
1705609445659.0,-0.3777846,0.009065064,-0.4281606
1705609445674.0,-0.3749865,0.009995427,-0.4271462
1705609445688.0,-0.3746089,0.00988947,-0.4270589
1705609445702.0,-0.3762099,0.01119584,-0.4272601
1705609445716.0,-0.3736622,0.01180087,-0.4268656
1705609445730.0,-0.3721201,0.01207483,-0.4266593
1705609445745.0,-0.3721201,0.01207483,-0.4266593
1705609445758.0,-0.3670337,0.01362051,-0.4263278
1705609445770.0,-0.3656271,0.01422286,-0.4261484
1705609445785.0,-0.3659304,0.01432236,-0.426067
1705609445799.0,-0.363674,0.01396828,-0.4248932
1705609445813.0,-0.363674,0.01396828,-0.4248932
1705609445827.0,-0.363674,0.01396828,-0.4248932
1705609445841.0,-0.3569258,0.01429242,-0.4234701
1705609445855.0,-0.3554357,0.01450951,-0.4231914
1705609445869.0,-0.3563924,0.01493018,-0.4231053
1705609445883.0,-0.3554062,0.01507549,-0.4228633
1705609445897.0,-0.3586215,0.0146774,-0.4233741
1705609445911.0,-0.3565439,0.0150079,-0.4222564
1705609445924.0,-0.3561082,0.0151378,-0.4219506
1705609445938.0,-0.3559051,0.01529277,-0.4217514
1705609445952.0,-0.3563722,0.01626556,-0.4216734
1705609445966.0,-0.3570836,0.01704175,-0.4213075
1705609445980.0,-0.3570836,0.01704175,-0.4213075
1705609445994.0,-0.3570836,0.01704175,-0.4213075
1705609446009.0,-0.3570836,0.01704175,-0.4213075
1705609446022.0,-0.3579029,0.01702059,-0.4199472
1705609446037.0,-0.3579029,0.01702059,-0.4199472
1705609446050.0,-0.3580168,0.01713411,-0.4197666
1705609446064.0,-0.3596592,0.01885205,-0.4196605
1705609446077.0,-0.3596592,0.01885205,-0.4196605
1705609446091.0,-0.3599694,0.01910709,-0.4196752
