timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705615828027.0,-0.4965915,0.1887131,-0.2970143
1705615828041.0,-0.49555,0.1885026,-0.2983983
1705615828055.0,-0.4955233,0.1885156,-0.2984694
1705615828069.0,-0.4953271,0.1885081,-0.2987072
1705615828084.0,-0.4946596,0.1885312,-0.2999903
1705615828096.0,-0.4944858,0.1885642,-0.3005933
1705615828111.0,-0.4944858,0.1885642,-0.3005933
1705615828124.0,-0.4944858,0.1885642,-0.3005933
1705615828138.0,-0.494033,0.1884069,-0.3023235
1705615828152.0,-0.4943014,0.1878614,-0.3040615
1705615828166.0,-0.49503,0.1871622,-0.3053876
1705615828181.0,-0.4950527,0.1869746,-0.3061809
1705615828195.0,-0.4954536,0.1864946,-0.3072125
1705615828209.0,-0.4973306,0.1846033,-0.3088742
1705615828222.0,-0.4988294,0.1828324,-0.3101418
1705615828236.0,-0.4996864,0.1817529,-0.3112526
1705615828250.0,-0.5002277,0.1810199,-0.3122824
1705615828263.0,-0.5016579,0.1792315,-0.3137026
1705615828278.0,-0.5024365,0.1782232,-0.3148751
1705615828292.0,-0.5036358,0.17705,-0.3163975
1705615828306.0,-0.5045928,0.1761099,-0.3177425
1705615828320.0,-0.505383,0.1751566,-0.3189452
1705615828334.0,-0.5062715,0.1742381,-0.3202446
1705615828348.0,-0.5075957,0.1741147,-0.3219835
1705615828362.0,-0.5083487,0.1736777,-0.3231316
1705615828376.0,-0.5091863,0.1728826,-0.3244203
1705615828390.0,-0.509532,0.1727009,-0.3251963
1705615828403.0,-0.5101007,0.1722623,-0.3260308
1705615828417.0,-0.5108275,0.1716105,-0.3271941
1705615828432.0,-0.51167,0.17149,-0.3279091
1705615828444.0,-0.5125755,0.1711682,-0.3289717
1705615828459.0,-0.5133437,0.1706377,-0.3300775
1705615828473.0,-0.5147161,0.1707076,-0.3310135
1705615828487.0,-0.5161735,0.1706697,-0.3320419
1705615828501.0,-0.5175239,0.1705089,-0.3332641
1705615828515.0,-0.5185313,0.1701678,-0.3343647
1705615828529.0,-0.5197274,0.169899,-0.3355523
1705615828543.0,-0.5223045,0.1699651,-0.3373653
1705615828556.0,-0.5241532,0.1698208,-0.3388448
1705615828570.0,-0.5260568,0.1697627,-0.3404068
1705615828584.0,-0.5279776,0.1698152,-0.3419725
1705615828598.0,-0.5299984,0.1700169,-0.3434886
1705615828612.0,-0.5317894,0.1700328,-0.3449231
1705615828626.0,-0.5341775,0.170548,-0.3465353
1705615828640.0,-0.5362068,0.1708984,-0.3481163
1705615828654.0,-0.5379886,0.1709452,-0.3495928
1705615828668.0,-0.5401967,0.1721528,-0.3513434
1705615828682.0,-0.5418503,0.1735392,-0.3529099
1705615828696.0,-0.5434371,0.1745862,-0.3544943
1705615828709.0,-0.5451307,0.1753175,-0.3560619
1705615828723.0,-0.5464586,0.1771055,-0.3575425
1705615828737.0,-0.5479154,0.1783904,-0.358959
1705615828751.0,-0.5492573,0.1798863,-0.3602603
1705615828765.0,-0.5498881,0.1829104,-0.3604978
1705615828779.0,-0.5513427,0.1841592,-0.361786
1705615828793.0,-0.5528038,0.1854136,-0.3630801
1705615828807.0,-0.5539806,0.1873788,-0.3638895
1705615828821.0,-0.5518295,0.2026076,-0.3579451
