timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705623432510.0,-0.8772625,-0.4570955,1.604851
1705623432524.0,-0.8781486,-0.4578463,1.604141
1705623432537.0,-0.879068,-0.4587569,1.603599
1705623432551.0,-0.8799582,-0.4596287,1.602975
1705623432565.0,-0.8806293,-0.4608536,1.602275
1705623432579.0,-0.8812757,-0.4618212,1.601467
1705623432593.0,-0.8820007,-0.4624708,1.600786
1705623432607.0,-0.8820067,-0.464187,1.59958
1705623432621.0,-0.8824455,-0.4650964,1.598767
1705623432635.0,-0.8823065,-0.4667772,1.597325
1705623432649.0,-0.8824618,-0.467972,1.596293
1705623432663.0,-0.8825424,-0.4681514,1.596128
1705623432676.0,-0.8818806,-0.4694091,1.595516
1705623432691.0,-0.8815968,-0.4711456,1.594588
1705623432704.0,-0.8813809,-0.4727255,1.593726
1705623432718.0,-0.8811075,-0.4740826,1.593065
1705623432732.0,-0.8808789,-0.4754921,1.592351
1705623432746.0,-0.8805196,-0.4772598,1.591621
1705623432760.0,-0.8798395,-0.4794015,1.590914
1705623432774.0,-0.8791369,-0.4808269,1.590607
1705623432788.0,-0.8779278,-0.4834431,1.589879
1705623432802.0,-0.8755633,-0.4886326,1.588335
1705623432816.0,-0.8734987,-0.4927422,1.587215
1705623432830.0,-0.8702713,-0.499178,1.585537
1705623432844.0,-0.8669587,-0.5070936,1.58325
1705623432858.0,-0.8651857,-0.5112573,1.581992
1705623432872.0,-0.8606213,-0.5267672,1.577531
1705623432886.0,-0.8570544,-0.5426472,1.574155
1705623432900.0,-0.853802,-0.5573087,1.571465
1705623432914.0,-0.850934,-0.5687145,1.569111
1705623432928.0,-0.8479957,-0.589196,1.566771
1705623432941.0,-0.8456107,-0.6052999,1.564718
1705623432955.0,-0.8431021,-0.6194755,1.562611
1705623432969.0,-0.8407616,-0.6370185,1.561452
1705623432983.0,-0.8383057,-0.651608,1.559734
1705623432999.0,-0.8357539,-0.665818,1.557791
1705623433013.0,-0.8332112,-0.6799771,1.555855
1705623433027.0,-0.8335131,-0.696854,1.556363
1705623433040.0,-0.8322867,-0.7101229,1.555654
1705623433054.0,-0.83057,-0.7234895,1.554685
1705623433067.0,-0.8287308,-0.7375972,1.553414
1705623433081.0,-0.8272374,-0.7438214,1.55402
1705623433095.0,-0.8266231,-0.7482793,1.55508
1705623433109.0,-0.825855,-0.7555814,1.555977
1705623433123.0,-0.8244513,-0.765923,1.555719
1705623433137.0,-0.8248039,-0.7694013,1.558058
1705623433151.0,-0.8251435,-0.7747147,1.559236
1705623433164.0,-0.8257825,-0.7795703,1.560178
1705623433178.0,-0.8261451,-0.7850314,1.560948
1705623433192.0,-0.8272476,-0.7876415,1.562443
1705623433206.0,-0.8271427,-0.7940632,1.563172
1705623433220.0,-0.8279459,-0.7953793,1.565393
1705623433234.0,-0.828873,-0.7951811,1.566977
1705623433248.0,-0.8295193,-0.7977772,1.567411
1705623433262.0,-0.8297912,-0.8020583,1.568341
1705623433275.0,-0.8316153,-0.8012376,1.566761
1705623433290.0,-0.8328332,-0.8014856,1.566016
1705623433304.0,-0.8335488,-0.8021548,1.565984
1705623433317.0,-0.8341873,-0.8039108,1.566164
1705623433331.0,-0.8348413,-0.8063186,1.566399
1705623433345.0,-0.8354969,-0.8087327,1.566635
1705623433359.0,-0.8356333,-0.8006748,1.565322
1705623433373.0,-0.8358451,-0.7999368,1.565234
1705623433387.0,-0.8358451,-0.7999368,1.565234
1705623433401.0,-0.8362973,-0.7998797,1.565259
1705623433415.0,-0.837133,-0.8003438,1.565473
1705623433429.0,-0.8371859,-0.8004156,1.565503
1705623433443.0,-0.8375223,-0.8010033,1.565606
1705623433456.0,-0.8375223,-0.8010033,1.565606
1705623433471.0,-0.8375223,-0.8010033,1.565606
1705623433485.0,-0.8377059,-0.8014527,1.565631
1705623433498.0,-0.8374158,-0.8014548,1.565079
1705623433513.0,-0.8372694,-0.8012682,1.56504
1705623433527.0,-0.8372694,-0.8012682,1.56504
1705623433540.0,-0.8372684,-0.8015174,1.564867
1705623433554.0,-0.8372997,-0.8018016,1.564799
1705623433568.0,-0.8373129,-0.8016107,1.564894
1705623433582.0,-0.8373301,-0.8013213,1.564946
1705623433596.0,-0.8375202,-0.8006844,1.564762
