timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705704136375.0,0.4712144,-0.1649344,0.6470746
1705704136389.0,0.4744968,-0.1638505,0.6451216
1705704136403.0,0.4793956,-0.1647178,0.6419114
1705704136416.0,0.4814316,-0.1645313,0.639782
1705704136430.0,0.4842982,-0.1649647,0.6376675
1705704136444.0,0.4860841,-0.1647988,0.6358176
1705704136457.0,0.4893554,-0.1664808,0.6338378
1705704136472.0,0.4924595,-0.1689779,0.6314725
1705704136485.0,0.4954108,-0.1713128,0.628671
1705704136499.0,0.4978191,-0.1726809,0.6262147
1705704136513.0,0.5010382,-0.1764628,0.6224072
1705704136526.0,0.5036382,-0.1804572,0.6183766
1705704136539.0,0.5059814,-0.183496,0.6148393
1705704136554.0,0.5082881,-0.1867386,0.6111163
1705704136568.0,0.5105479,-0.1915545,0.6062579
1705704136582.0,0.512852,-0.1941432,0.6029677
1705704136596.0,0.5150648,-0.1995917,0.5974078
1705704136610.0,0.5173334,-0.2058209,0.5909581
1705704136624.0,0.5196759,-0.2106421,0.5856821
1705704136638.0,0.5219762,-0.214443,0.5813456
1705704136653.0,0.5246194,-0.221498,0.5739351
1705704136666.0,0.5269603,-0.2276657,0.5674002
1705704136681.0,0.5289743,-0.2334581,0.5613301
1705704136695.0,0.5306267,-0.2393047,0.5553168
1705704136709.0,0.5327907,-0.2443347,0.5498937
1705704136722.0,0.5330953,-0.2511488,0.5434941
1705704136736.0,0.5332741,-0.2577705,0.5374634
1705704136750.0,0.533568,-0.2643131,0.5316629
1705704136764.0,0.5344573,-0.2704039,0.5259449
1705704136777.0,0.5342085,-0.277504,0.5202981
1705704136792.0,0.5347763,-0.2838641,0.5147273
1705704136805.0,0.5356815,-0.2899634,0.5090563
1705704136819.0,0.5364091,-0.2960401,0.503476
1705704136835.0,0.5372853,-0.3020791,0.4978535
1705704136849.0,0.5379434,-0.307926,0.4924421
1705704136862.0,0.5382366,-0.3136623,0.4872947
1705704136876.0,0.5384812,-0.3194129,0.4821621
1705704136890.0,0.5388116,-0.3251646,0.4770194
1705704136903.0,0.5378889,-0.3303588,0.4730649
1705704136917.0,0.5374374,-0.3356942,0.4687643
1705704136931.0,0.5373737,-0.3411985,0.4640807
1705704136945.0,0.5363303,-0.3453149,0.4607106
1705704136959.0,0.5359968,-0.3502809,0.4564689
1705704136972.0,0.5346738,-0.3539585,0.4534389
1705704136986.0,0.5340958,-0.3586277,0.4494843
1705704136999.0,0.5326231,-0.3614403,0.4470999
1705704137014.0,0.5317624,-0.3646515,0.4441315
1705704137028.0,0.5311691,-0.369013,0.4403794
1705704137042.0,0.5306807,-0.370984,0.4378979
1705704137055.0,0.5301167,-0.3749564,0.4343586
1705704137069.0,0.5306211,-0.3755938,0.4323029
1705704137083.0,0.5311173,-0.3762404,0.4303351
1705704137097.0,0.5309809,-0.3787738,0.4275218
1705704137111.0,0.5307481,-0.3817423,0.4244587
1705704137126.0,0.5309582,-0.3823217,0.4227953
1705704137138.0,0.5318738,-0.3812153,0.4214183
1705704137152.0,0.5323814,-0.3818362,0.4191458
1705704137167.0,0.5327212,-0.3825217,0.4169452
1705704137180.0,0.5328307,-0.3833992,0.4148453
1705704137194.0,0.5327854,-0.3846107,0.4127185
1705704137208.0,0.532365,-0.3859434,0.410896
1705704137223.0,0.5320699,-0.3874774,0.4089167
1705704137236.0,0.5320342,-0.3889285,0.4066876
1705704137252.0,0.5312689,-0.3908547,0.4051103
1705704137264.0,0.5298231,-0.3933341,0.4041275
1705704137278.0,0.5285456,-0.3957563,0.4031346
1705704137293.0,0.5271298,-0.39833,0.4025002
1705704137308.0,0.5264817,-0.4002653,0.4009014
1705704137322.0,0.5255163,-0.402449,0.3997645
1705704137335.0,0.523582,-0.4051043,0.4015592
1705704137348.0,0.5229096,-0.4069356,0.4012531
1705704137362.0,0.5222145,-0.4088811,0.4005713
1705704137376.0,0.5223598,-0.4101543,0.4006965
1705704137390.0,0.5224327,-0.4114088,0.400414
1705704137404.0,0.5219023,-0.4131929,0.399771
1705704137418.0,0.5228168,-0.413617,0.3997349
1705704137431.0,0.5227573,-0.4149057,0.3993054
1705704137445.0,0.5233289,-0.4150648,0.3993801
1705704137458.0,0.52344,-0.4149148,0.3994768
1705704137472.0,0.5237783,-0.4146744,0.3999207
1705704137486.0,0.5238626,-0.4148254,0.4000393
1705704137501.0,0.5239906,-0.4148338,0.4003715
1705704137515.0,0.5240082,-0.4148539,0.4004538
1705704137529.0,0.524071,-0.4150765,0.4006644
1705704137543.0,0.524129,-0.4150098,0.4010299
1705704137557.0,0.5241277,-0.4149581,0.401209
1705704137571.0,0.5241277,-0.4149581,0.401209
1705704137585.0,0.5241187,-0.4149154,0.4012907
1705704137599.0,0.5238575,-0.4146308,0.4018763
1705704137611.0,0.523702,-0.4143943,0.4020924
1705704137625.0,0.5236372,-0.4142894,0.4021577
1705704137639.0,0.5233543,-0.4137571,0.4024561
1705704137653.0,0.5232598,-0.4132901,0.4026381
1705704137668.0,0.5233237,-0.413068,0.402655
1705704137682.0,0.5235108,-0.4127932,0.4026249
1705704137696.0,0.5235687,-0.4127254,0.4026259
1705704137710.0,0.5237519,-0.4123939,0.4026631
1705704137724.0,0.5237617,-0.4122718,0.4027124
1705704137738.0,0.5237558,-0.4120324,0.4027925
1705704137752.0,0.523771,-0.4119255,0.4028113
1705704137765.0,0.5238101,-0.4114449,0.4028479
1705704137778.0,0.5238101,-0.4114449,0.4028479
1705704137793.0,0.5238469,-0.4109006,0.4028261
1705704137807.0,0.5238323,-0.410085,0.4027706
1705704137821.0,0.5238104,-0.409715,0.402708
1705704137835.0,0.5238104,-0.409715,0.402708
1705704137850.0,0.5238035,-0.4095322,0.4026662
1705704137863.0,0.5239284,-0.4085984,0.4023052
1705704137877.0,0.5239403,-0.4084143,0.4022242
1705704137891.0,0.5239399,-0.408318,0.4021866
1705704137905.0,0.5238501,-0.4077683,0.4020419
1705704137918.0,0.5237895,-0.4074421,0.4019685
1705704137932.0,0.5237895,-0.4074421,0.4019685
1705704137946.0,0.5237117,-0.407051,0.4018638
1705704137960.0,0.5236999,-0.4070075,0.4018483
1705704137974.0,0.5235727,-0.4066961,0.4017401
1705704137988.0,0.5235169,-0.4065827,0.4017034
1705704138002.0,0.5231978,-0.40592,0.4015004
1705704138016.0,0.5231541,-0.4057626,0.4014526
1705704138030.0,0.5231405,-0.405154,0.4012586
1705704138045.0,0.5231405,-0.405154,0.4012586
1705704138058.0,0.5232355,-0.4048656,0.4011527
1705704138071.0,0.5232427,-0.4050427,0.4010955
1705704138085.0,0.523222,-0.4050777,0.4010382
1705704138099.0,0.5232103,-0.4050805,0.400992
1705704138113.0,0.5231792,-0.4051002,0.4007975
1705704138127.0,0.5231319,-0.405062,0.4005697
1705704138141.0,0.5230535,-0.4049427,0.4003998
1705704138155.0,0.5229896,-0.4048103,0.4002651
1705704138169.0,0.5227407,-0.4044621,0.400037
1705704138184.0,0.5227407,-0.4044621,0.400037
1705704138197.0,0.5225055,-0.4041018,0.3998072
1705704138211.0,0.5223477,-0.4037346,0.3995398
1705704138224.0,0.5223145,-0.4036565,0.3994814
1705704138238.0,0.5223145,-0.4036565,0.3994814
1705704138252.0,0.5221203,-0.4031963,0.3991492
1705704138266.0,0.5219449,-0.4026704,0.3987678
1705704138280.0,0.5218686,-0.4024236,0.3985399
1705704138294.0,0.5218686,-0.4024236,0.3985399
1705704138309.0,0.5216795,-0.4021489,0.3982167
1705704138322.0,0.5215397,-0.4018992,0.3979813
1705704138336.0,0.521488,-0.4018042,0.3978972
1705704138350.0,0.5212672,-0.401397,0.3975365
1705704138364.0,0.5212672,-0.401397,0.3975365
1705704138377.0,0.5210274,-0.4009999,0.3971747
1705704138391.0,0.5208084,-0.4007277,0.3969151
1705704138405.0,0.5205807,-0.4005404,0.3966989
1705704138419.0,0.5203913,-0.400477,0.3965037
1705704138433.0,0.5202901,-0.4005619,0.3963259
1705704138448.0,0.5203061,-0.4008371,0.3960404
1705704138462.0,0.5203061,-0.4008371,0.3960404
1705704138475.0,0.5204896,-0.4011374,0.3957729
1705704138489.0,0.5204971,-0.4011631,0.3957409
1705704138503.0,0.5204971,-0.4011631,0.3957409
1705704138518.0,0.5204148,-0.4013326,0.3955559
