timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705792074988.0,0.08692693,-0.08500516,0.3834105
1705792075002.0,0.08696471,-0.08503761,0.3834803
1705792075016.0,0.08696471,-0.08503761,0.3834803
1705792075029.0,0.08707318,-0.08504062,0.3835406
1705792075043.0,0.08723948,-0.08504262,0.383606
1705792075057.0,0.08724043,-0.0850343,0.3835755
1705792075071.0,0.08720479,-0.08503451,0.3835181
1705792075085.0,0.08708693,-0.08500494,0.3833041
1705792075099.0,0.08695439,-0.08490226,0.3829615
1705792075112.0,0.08681814,-0.08475806,0.3826019
1705792075127.0,0.08641937,-0.08436902,0.3817396
1705792075141.0,0.08613802,-0.08415482,0.381281
1705792075154.0,0.08613802,-0.08415482,0.381281
1705792075168.0,0.08481935,-0.08331065,0.3797253
1705792075182.0,0.08234642,-0.08183639,0.3776973
1705792075196.0,0.08029038,-0.0807156,0.3764639
1705792075210.0,0.0801972,-0.08066063,0.3763878
1705792075225.0,0.07529754,-0.07823902,0.3746615
1705792075238.0,0.07083191,-0.07584298,0.3736804
1705792075252.0,0.0689302,-0.07480389,0.3729152
1705792075266.0,0.06105475,-0.06997027,0.3716829
1705792075280.0,0.05708595,-0.06758272,0.3708578
1705792075294.0,0.05395635,-0.06574216,0.3700524
1705792075308.0,0.04562977,-0.06041763,0.3694025
1705792075322.0,0.03577835,-0.05351822,0.3688663
1705792075336.0,0.02938635,-0.04892111,0.3682157
1705792075349.0,0.02417742,-0.04548787,0.3675067
1705792075364.0,0.01541422,-0.03822913,0.366739
1705792075378.0,0.007347954,-0.03179687,0.3657084
1705792075391.0,-0.0003761975,-0.02595714,0.3646858
1705792075405.0,-0.007466817,-0.02074911,0.363852
1705792075419.0,-0.01683806,-0.01437826,0.363369
1705792075433.0,-0.02531265,-0.008635114,0.363138
1705792075447.0,-0.03270493,-0.003380831,0.362533
1705792075461.0,-0.04169509,0.002007259,0.3630987
1705792075475.0,-0.04957693,0.007227875,0.3628886
1705792075489.0,-0.05735146,0.01252295,0.3625429
1705792075503.0,-0.06573665,0.01737228,0.3627329
1705792075517.0,-0.07368814,0.02215975,0.3627443
1705792075530.0,-0.08138594,0.02713823,0.3627104
1705792075544.0,-0.08909988,0.03221167,0.362636
1705792075558.0,-0.09540731,0.03743663,0.3631037
1705792075572.0,-0.1018975,0.04275635,0.3634656
1705792075587.0,-0.1087298,0.0480324,0.3637154
1705792075600.0,-0.1136489,0.05383856,0.3647043
1705792075613.0,-0.120414,0.05913679,0.3649865
1705792075627.0,-0.1266642,0.06456885,0.3654855
1705792075642.0,-0.1305058,0.07006548,0.3669694
1705792075655.0,-0.1328298,0.07564454,0.369406
1705792075670.0,-0.1366145,0.08090837,0.3710072
1705792075683.0,-0.1418623,0.08631359,0.3720102
1705792075697.0,-0.1443571,0.09141543,0.3739355
1705792075711.0,-0.1468455,0.09643997,0.3754885
1705792075725.0,-0.1492088,0.1011649,0.3768794
1705792075739.0,-0.1531831,0.1063426,0.3781401
1705792075753.0,-0.1538902,0.110728,0.3796945
1705792075767.0,-0.1547952,0.1148813,0.3807043
1705792075781.0,-0.1577594,0.119805,0.381957
1705792075795.0,-0.1577862,0.1235739,0.3821707
1705792075809.0,-0.1593132,0.1278397,0.3827381
1705792075823.0,-0.1616183,0.1325048,0.3837349
1705792075837.0,-0.1639191,0.1371615,0.3847299
1705792075850.0,-0.1615805,0.1390606,0.3804719
1705792075865.0,-0.1619945,0.1424865,0.3791854
1705792075878.0,-0.1630064,0.1462867,0.3786753
1705792075892.0,-0.1628088,0.1486799,0.3769446
1705792075906.0,-0.1627357,0.150677,0.3757696
1705792075920.0,-0.1633867,0.1537596,0.3751365
1705792075934.0,-0.1635171,0.1553181,0.374566
1705792075948.0,-0.1642385,0.1584191,0.3740073
1705792075962.0,-0.1649391,0.1592718,0.3736936
1705792075976.0,-0.1658096,0.1608486,0.373268
1705792075989.0,-0.1667732,0.1601834,0.3732475
1705792076004.0,-0.1674908,0.1608447,0.3732376
1705792076018.0,-0.1682603,0.162646,0.3728795
1705792076032.0,-0.1685211,0.161879,0.3734587
1705792076046.0,-0.1684343,0.1614661,0.3737004
1705792076059.0,-0.1686556,0.1616821,0.3737761
1705792076074.0,-0.1689436,0.1619478,0.3737767
1705792076089.0,-0.1689436,0.1619478,0.3737767
1705792076103.0,-0.169437,0.1619598,0.3736733
1705792076117.0,-0.1698309,0.1625307,0.3737209
1705792076130.0,-0.1703887,0.1632859,0.3739928
1705792076144.0,-0.1705185,0.1634038,0.3741493
1705792076157.0,-0.170728,0.1631272,0.374933
1705792076171.0,-0.1705471,0.1625859,0.3752743
1705792076185.0,-0.1706053,0.162584,0.375423
1705792076199.0,-0.1701059,0.1624302,0.3752581
1705792076213.0,-0.1701059,0.1624302,0.3752581
1705792076227.0,-0.1689654,0.1625409,0.3751566
1705792076240.0,-0.1688136,0.1625389,0.3751445
1705792076254.0,-0.1681614,0.1624574,0.3748622
1705792076268.0,-0.1670113,0.1624081,0.3744149
1705792076282.0,-0.1670113,0.1624081,0.3744149
