timestamp,true_hand_pos_X,true_hand_pos_Y,true_hand_pos_Z
1705680097370.0,0.01873427,-0.1690674,0.3962331
1705680097384.0,0.01869471,-0.168467,0.3944671
1705680097398.0,0.01895671,-0.1686075,0.3920769
1705680097411.0,0.01889437,-0.1678703,0.3905176
1705680097425.0,0.01811887,-0.1681228,0.3876984
1705680097439.0,0.01742853,-0.1675678,0.3857943
1705680097452.0,0.01436815,-0.1678689,0.3828301
1705680097466.0,0.0117494,-0.1679284,0.3803937
1705680097480.0,0.01066326,-0.1674715,0.3784522
1705680097494.0,0.003351648,-0.1688923,0.3751127
1705680097508.0,-0.00471171,-0.1701089,0.3722071
1705680097522.0,-0.01109262,-0.1707828,0.3696767
1705680097535.0,-0.01645525,-0.1712086,0.3672681
1705680097549.0,-0.0296059,-0.1723667,0.3648034
1705680097563.0,-0.03761915,-0.1728215,0.3625881
1705680097577.0,-0.04805563,-0.1732896,0.3605507
1705680097591.0,-0.0569464,-0.1737062,0.3584184
1705680097605.0,-0.06419138,-0.1740939,0.356181
1705680097619.0,-0.07285196,-0.1745078,0.3540268
1705680097633.0,-0.0872413,-0.1752891,0.3520451
1705680097646.0,-0.1030702,-0.1767576,0.3496364
1705680097660.0,-0.1137224,-0.1775033,0.3473803
1705680097674.0,-0.1237485,-0.1781596,0.3451533
1705680097689.0,-0.1355027,-0.1790438,0.3428988
1705680097702.0,-0.1485626,-0.1797696,0.34116
1705680097716.0,-0.1596615,-0.1801867,0.339304
1705680097729.0,-0.1704937,-0.1806735,0.3372985
1705680097743.0,-0.1806936,-0.1808622,0.3358744
1705680097758.0,-0.1907343,-0.1812041,0.3345497
1705680097772.0,-0.2012758,-0.1816596,0.3327559
1705680097785.0,-0.2101829,-0.1817458,0.3326987
1705680097799.0,-0.2200304,-0.1821104,0.3317446
1705680097813.0,-0.2296484,-0.1825813,0.3309785
1705680097827.0,-0.237655,-0.1829926,0.3320636
1705680097841.0,-0.243857,-0.1831377,0.3350002
1705680097855.0,-0.2518372,-0.1833582,0.3356208
1705680097869.0,-0.25892,-0.1833325,0.3365011
1705680097883.0,-0.26577,-0.1830786,0.3372907
1705680097896.0,-0.2726453,-0.1827732,0.3379281
1705680097910.0,-0.2781514,-0.1820886,0.3385893
1705680097924.0,-0.2836882,-0.1816158,0.3390388
1705680097938.0,-0.2900859,-0.1813193,0.3394365
1705680097952.0,-0.2936923,-0.1804548,0.3401265
1705680097966.0,-0.2983626,-0.1798351,0.3411372
1705680097980.0,-0.3038048,-0.1793759,0.3419718
1705680097994.0,-0.3075777,-0.1788282,0.3437101
1705680098008.0,-0.3131005,-0.1784158,0.3445374
1705680098021.0,-0.3152816,-0.1789043,0.3473369
1705680098036.0,-0.3177887,-0.1791949,0.3497716
1705680098050.0,-0.3204984,-0.1791504,0.3518046
1705680098063.0,-0.3240046,-0.1790009,0.3534173
1705680098077.0,-0.3272885,-0.1788149,0.3549892
1705680098091.0,-0.3260804,-0.1774759,0.35539
1705680098105.0,-0.3278362,-0.1766101,0.3561499
1705680098119.0,-0.3286567,-0.1754656,0.3564087
1705680098133.0,-0.330421,-0.1747349,0.3570586
1705680098147.0,-0.3327931,-0.1741449,0.3580496
1705680098161.0,-0.3344114,-0.1734153,0.3585628
1705680098174.0,-0.3324363,-0.173443,0.3553548
1705680098189.0,-0.3314731,-0.1738233,0.3547902
1705680098202.0,-0.3314731,-0.1738233,0.3547902
1705680098216.0,-0.334237,-0.1730459,0.354453
1705680098230.0,-0.3343487,-0.1728352,0.3542309
1705680098244.0,-0.3337816,-0.1728483,0.3542036
1705680098258.0,-0.3333779,-0.172535,0.3543529
1705680098272.0,-0.3333779,-0.172535,0.3543529
1705680098287.0,-0.3336585,-0.1717972,0.3546843
1705680098299.0,-0.3339339,-0.1710967,0.3550142
1705680098313.0,-0.3337707,-0.1708949,0.3551676
1705680098327.0,-0.3336934,-0.1708341,0.3552082
1705680098341.0,-0.3333908,-0.1705366,0.3553117
1705680098355.0,-0.3331856,-0.1700687,0.3553759
1705680098369.0,-0.3331856,-0.1700687,0.3553759
1705680098383.0,-0.3331118,-0.1695855,0.3550437
1705680098396.0,-0.3331276,-0.169584,0.3549561
1705680098411.0,-0.333144,-0.1695842,0.3548684
1705680098424.0,-0.333205,-0.1695624,0.354539
1705680098438.0,-0.3333152,-0.1695469,0.3541518
1705680098452.0,-0.3333922,-0.1695408,0.3539637
1705680098466.0,-0.3334209,-0.169616,0.3538902
1705680098480.0,-0.3334197,-0.1696488,0.3538882
1705680098494.0,-0.3333371,-0.1698043,0.3539351
1705680098508.0,-0.3333097,-0.1698484,0.3539507
1705680098522.0,-0.333355,-0.1702717,0.354076
1705680098536.0,-0.333355,-0.1702717,0.354076
1705680098550.0,-0.3333768,-0.1703749,0.3541153
1705680098563.0,-0.3335008,-0.170749,0.354131
1705680098577.0,-0.3338148,-0.1715571,0.3538682
